cartodb_id,the_geom,type_walkway,type_vacant_lot,type_tree,type_tag_graffiti,type_stumble_stone,type_speech,type_song_sound,type_shrine,type_sculpture_statue,type_scholarship,type_protest,type_poem,type_plaque,type_performance,type_park,type_parade,type_obelisk,type_museum,type_mural,type_mosaic,type_meal,type_interactive,type_historical_marker,type_gateway,type_garden,type_digital_project,type_community_resource_center,type_closed_school,type_closed_factory,type_celebration,type_bridge,type_book,type_billboard,type_bench,type_archeological_site,type_arch,topic_youth,topic_women,topic_william_penn,topic_water,topic_war,topic_violence,topic_unity,topic_technology,topic_sustainability,topic_street_art,topic_sports,topic_social_justice,topic_slavery,topic_sexuality,topic_seniors,topic_rocky,topic_religion,topic_public_safety,topic_public_health,topic_pretzel,topic_peace,topic_outer_space,topic_neighborhoods,topic_music,topic_move,topic_monument_lab,topic_mass_incarceration,topic_love,topic_liberty_bell,topic_justice,topic_indigenous_peoples,topic_immigration,topic_hunger,topic_homelessness,topic_green_space_or_nature,topic_gentrification,topic_gender,topic_freedom,topic_food,topic_education,topic_division,topic_diversity,topic_dialogue,topic_community,topic_class_economic_inequality,topic_civic_engagement,topic_city_infrastructure_transportation,topic_cheese_steak,topic_celebration,topic_ben_franklin,topic_art_and_culture,topic_addiction,zip,type_vista,type_street,type_projection,type_playground,type_other_no_form,type_memorial,type_image,type_film,type_bikepath,transcript,topic_wawa,topic_race_ethnicity,topic_post_industrial,name,age,address,mlab_id,form_image_b
11,0101000020E6100000E7D951416ACA52C0AAAA86B311FA4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,19107,,,,,1,,,,,"Crime was invented by Military and FBI to make money off the poor & uneducated population of America. Right is not in Western Religion & Politics Change President caused more loss and laws not for people but Rich. I a person can not grow or learn. the Truth your history & what you praise will Fall-(TRUTH IN ACTION)
",,,,The Real Lies Told - Change,,In the Monsonic Area,109,https://farm9.staticflickr.com/8800/17833147766_3a91b05abb_b.jpg
12,0101000020E61000008181D6B2EBCA52C01CCCCB063E044440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19144,,,,,1,,,,,Mother that lost their baby father,,,,Hope,27,Gtown Wayne Ave,110,https://farm9.staticflickr.com/8816/17935834098_c93e3acc04_b.jpg
13,0101000020E61000003BE0BA6246CB52C088F546AD30FB4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,19134,,,,,1,,,,,"A scene, friends and family, something covers a wide area, preferably in color to emphasize skin tone. It simply describes the diversity in Philadelphia and the acceptance people have for one another which has always been a highlight quality of this city",,,,City of Brotherly Love,23,Philadelphia Parkway,111,https://farm6.staticflickr.com/5331/17236964194_b178be7312_b.jpg
14,0101000020E61000005915E126A3CA52C0CA32C4B12EFA4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,15701,,,,,,,,,,"The monument should include one of every symbol to represent each gender identity, and a chain should be between each to show that Love is universal. The chains represent love [chains connecting to different symbols.]",,,,Love for All,21,The Gayborhood or Love Park,114,https://farm8.staticflickr.com/7748/17671954750_5d6bb29f50_b.jpg
15,0101000020E6100000A0FF1EBC76CA52C05E66D828EBF94340,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,19102,,,,,,,,,,"No visual concept, but a steel or bronze structure with pieces pointing in directions of every Philadelphia neighborhood. Important to get public input so that no neighborhood is inadvertantly omitted. The monument could be used for periodic celebrations of neighborhoods to call attention to their history, changes and growth. Many people think that change in their old neighborhood is bad, but that is not so. 
",,,,Philadelphia Neighborhoods,71,City Hall Courtyard,115,https://farm6.staticflickr.com/5445/17833148656_1c5db8cc10_b.jpg
16,0101000020E6100000F616C5619FCA52C0A13028D368FF4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32566,,,,,,1,,,,[Shibe Park],,,,Connie Mack Memorial,48,21st & Lehigh,116,https://farm9.staticflickr.com/8781/17856580982_a920bdbfb1_b.jpg
17,0101000020E6100000D449B6BA9CCA52C0145E82531FFA4340,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19123,,,,,,,,,,"Love Park, @$ is, with more FLOWERS! ",,,,Love Park,21,JFK Blvd & City Hall,118,https://farm8.staticflickr.com/7724/17236965334_10aae85dca_b.jpg
18,0101000020E6100000565925A2A9CA52C0178C005DEAF54340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,08078,,,,,,,,,,This monument would encompass the idea of love that is linked with the city. There are so many types of people that live here now and many different types of groups that help build the city. It would be a statue with people from all walks of life.,,,,Philadelphia Compassion,24,"A playground in South Philly where I have a personal connect. To. 
",119,https://farm9.staticflickr.com/8826/17859489285_5f3ca7b884_b.jpg
19,0101000020E6100000EB0088BB7ACA52C0DB87BCE5EAF94340,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19140,,,,,,,,,,"Help Philadelphians get more involved with their city. A monument that gives you information on Philly; it's history; events going on downtown and more. They could place the ear phones on and listen to different info about their city. Good for tourist!
",,,,"Philly Reader ""Whats Happening?""",21,"City Hall, Courtyard",120,https://farm6.staticflickr.com/5330/17856581742_3005f007ca_b.jpg
20,0101000020E61000000000808973CA52C0EFC8375DEEF94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,32566,,,,,,,,,,"[City of Philadelphia, 1682-2015, Philadelphia, Rocky, PHL/Philadelphia Airport, SEPTA, William Penn, 1682, Love, Constitution, Ben Franklin, Pass and Stow, U.S. Mint]",,,,"""Saved by the Bell""",12,Courtyard- City Hall,121,https://farm6.staticflickr.com/5347/17236965994_269dfece9e_b.jpg
21,0101000020E6100000100874266DCC52C0B1DCD26A48FA4340,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,19143,,,,,,,,,,"Weekly spoken word events in Love park. No, I cannot draw so this will have to do =) Poetry without microphones but set within the east portal for vocal amplification. [me doing poetry]",,,,The Poets Corner,21,East Portal,122,https://farm8.staticflickr.com/7680/17859998521_a5f73bdea4_b.jpg
22,0101000020E6100000F01D90DFB6C952C07A394778D6004440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,19122,,,,,,,,,,Rainbow for LGBT (Brotherly Love? Right?) People of all races holding hands.,,1,,Divercity,20,N. Broad Str.,123,https://farm9.staticflickr.com/8829/17503168163_3f97b96252_b.jpg
23,0101000020E6100000AA471ADCD6C752C0193C4CFBE6FE4340,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,19107,,,,,1,,,,,Bathroom stalls for the community to use. Inside they must write in a staement of peace. Each stall would be designed by the community at a block party!!,,,,"""Bathroom Stalls and Prayer Temples""",25,Somerset,125,https://farm6.staticflickr.com/5451/17897146925_ab54b95c9d_b.jpg
24,0101000020E6100000320807D64CC952C0259012BBB6F84340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,19125,,,,,1,,,,,"Step 1: DESIGN an elaborate, enormous, grandiose monument to a woman who trailblazed the Women's Rights and Anti-Slavery movements. Step 2: DON'T BUILD IT. Lucretia Mott was a Quaker, simple + practical.  Step 3: DONATE the money the monument would have cost to support racial and gender equality + justice. It's what Lucretia would do.",,1,,Lucretia Motts Un-Monument,28,"Former Pine Street Meeting House (South side of Pine, East of 2nd) ",126,https://farm6.staticflickr.com/5446/17859490205_70885cd3cb_b.jpg
25,0101000020E6100000A05F4A1325CB52C089C3E3ECE7FA4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32566,,,,,1,,,,,,,,,B. Frank,9,"Benjamin Franklin Pkwy.
",127,https://farm6.staticflickr.com/5455/17671682028_7dd9b4dbfe_b.jpg
26,0101000020E61000007AC8940F41C752C072512D228AFF4340,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19107,,,,,,,,,,"Made from found objects. (Bottles, prescription viles, cigarette butts...whatever really). Using these materials we are also cleaning the block / Bring awareness to the notion of ""Addiction"". Another man's trash is another man's treasure / ""Tree of knowledge"" (sculptural tree) ""rose that grew from concrete"" / Despite this intersection being know as a drug cesspool / - believe it or not, most of those ""drugees"" are intelligent / Knowledge/ Glass sculpture where you can insert these ""items"" in / This is an evolving ""sculpture""- meaning new material can be placed within/on this sculpture. [Though it is a CC area code, my struggle is real.]",,,,Knowledge and Addiction,25,Kensington/Allegheny ,128,https://farm8.staticflickr.com/7796/17709561250_142027337f_b.jpg
27,0101000020E610000058A027AFDFC952C036FBA82B44FA4340,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19104,,,,,,,,,,Multimedia type of monument: record sounds of different parts of the city and play when people are near the monument. monument: map of city where people can press buttons to hear the sounds of the city.,,,,Philaudiodelphia,22,Chinatown! (It needs more monuments),129,https://farm6.staticflickr.com/5326/17274592054_cbf9c3f5be_b.jpg
28,0101000020E6100000000000D8A4CA52C0C4BDB67FEEF94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,19046,,,,,,,,,,"A monument depicting the diversity, culture, and people in general who make Philadelphia what it is.",,,,Peoples Monument,18,Any Epicenter of human activity,13,https://farm8.staticflickr.com/7755/17634029698_38fcbc08b0_b.jpg
29,0101000020E610000043572250FDC952C01137A79201F84340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,19141,,,,,1,,,,,[Cristo Rey school symbol],,,,Eric Simmons,16,City Hall square,130,https://farm8.staticflickr.com/7745/17897670201_70ee4c6279_b.jpg
30,0101000020E6100000DE04DF347DCA52C01B99EC44EEF94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,, ,,,,Jason William,9,City Hall,131,https://farm8.staticflickr.com/7794/17709562330_f3d0f09a31_b.jpg
31,0101000020E61000003534547BC7CA52C0B1AAB9371AF74340,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,1,1,1,,,,,,,,19146,,,,,,,,,,I want a space where folks who have lived in Point Breeze for generations can exchange memories with those who are increasingly moving into the area.  This could help create more sustainable gentrification practices/ - maybe an oral history booth where there are welcome sessions with food.  I think this should be temporary.,,,,Point Breeze Memory Exchange,26,Abandoned Storefront at Broad and Tasker by Subway,137,https://farm9.staticflickr.com/8828/18120247312_b8717f667c_b.jpg
32,0101000020E6100000D1FC7B3AE8CA52C03AB8CF85ECF54340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,19119,,,,,,,,,,null,,,,"Welcome to South Philly, new migrants!",52,S. Broad St. Medians,138,https://farm9.staticflickr.com/8790/18123740665_091717c734_b.jpg
33,0101000020E6100000BD55D7A19ACA52C0AFB5F7A92AFA4340,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,19115,,,,,,,,,,Poetry about City of Brotherly Love,,,,Philly Poetry,30,Love Park (Statue),139,https://farm8.staticflickr.com/7799/18120252602_2646ef31af_b.jpg
34,0101000020E6100000D0C7C6CDBACB52C04216B36F38FA4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19123,,,,,1,,,,,"changing advertising, message ... walkthrough billboards",,,,"Signs, objects of desire",32,Near 30th + Market,14,https://farm6.staticflickr.com/5350/17201488693_52ebe8c910_b.jpg
35,0101000020E610000046BD964602CA52C061D6D52EB7FF4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,19121,,,,,1,,,,,People getting along. Being neighborly. Anti Racist people accepting each other for who they are. Freedom American flag.,,1,,Brotherly Love,21,North Philly,140,https://farm9.staticflickr.com/8839/17937521849_408f4d5a11_b.jpg
36,0101000020E61000000000006392CA52C04F27C126EDF94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,1,,,,,Stop selling arms USA,,,,"H, ATOM",52,Centre City,141,https://farm8.staticflickr.com/7760/18097258156_b9b0c87889_b.jpg
37,0101000020E61000005B1E108D13CD52C08297CFA8AFFC4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,1,,,,,,1,,19142,,,,,,,,,,"A 3D ""Rubix Cube"" sculpture with ""Warhol"" style faces of indigenous, African, European and other Philly developmental figures. Please, Do not build any physical spectacle monuments anywhere but currently impoverished areas, and please attach to youth history and arts apprenticeship programming.",,1,,Block to Block,27,40th and Girard,142,https://farm8.staticflickr.com/7782/17501141514_074ae0648d_b.jpg
38,0101000020E61000003198015F78CA52C02ACBAD9CFFF94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19023,,,,,1,,,,,[Presitint],,,,Monument Presitint,6, ,143,https://farm8.staticflickr.com/7763/17503174953_5e201d9c80_b.jpg
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,, ,,,,,7, ,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,, ,,,,,7, ,,
41,0101000020E6100000B06AB52C84CB52C05ACD847016FE4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19121,,,,,,,,,, ,,,,Brother Ship,15,N. Newkirk St,148,https://farm8.staticflickr.com/7772/17897147715_777cec1ef1_b.jpg
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,19066,,,,,1,,,,,"Every day, a few minutes after Local Apparent Noon (LAN), the shadow of Billy Penn crosses Broad St. Take advantage of this alignment by creating a meridian line down the center of Broad St., a meridian line, like the one that the Roman emperor Augustus placed on the Campus Martius or the one that still exists in Santa Maria degli Angeli, marks the sun's path through the heavens. It can indicate the dates of equinoxes and solstices through the Zodiac. The ""Philadelphia Noon"" line could be realized in paint or in more permanent material. Because Broad St. is not aligned on a true N-S line, the shadow of Billy Penn will cross it sometime after LAN. The difference between LAN and the crossing of the shadow will vary by as much as half an hour, depending on time of year. ""Philadelphia Noon"" will connect the city and its citizens to the universe in which they live. It will link the city's grid to its origins in Greek and Roman city planning and monumental architecture. Because of the slight difference between true north and the line of Broad St., Philadelphia's noon will stand at a slight angle to the universe.",,,,Philadelphia Noon,68,City Hall and North Broad St,,
43,0101000020E61000000000007373CA52C0808C06FDE3F94340,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,19104,,,,,,,,,,"[Life, Liberty, Happiness]",,,,Liberty Love,24,"Center of City Hall
",15,https://farm9.staticflickr.com/8860/17201488813_0e2a969a4d_b.jpg
44,0101000020E61000006690717B38CB52C0F0D69EFE58FB4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,19131,,,,,,,,,,Top is made of glass you can ride an escalator up. You can walk into it and view Pennsylvania skyline waterfront,,,,Pencilvania,13,Waterfront,151,https://farm8.staticflickr.com/7751/17897147655_d4c26bfdc5_b.jpg
45,0101000020E61000006674F6845BCF52C009185DDE1CFC4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1D Love,,,,1d love,11,6006 W. Girard Ave.,153,https://farm9.staticflickr.com/8849/17709300408_47713a9ba4_b.jpg
46,0101000020E6100000FFFFFFE2C1CF52C00BC65C8D4CFA4340,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,86301,,,,,,,,,,The starting point for terraced gardens spreading out from this block all around the city. And a center for putting into practice varied and self sufficient ecological communities and households around the city. Additionally would teach about what happened and brought about the bombing of MOVE in '85.,,1,,John Africa Center for Grassroots Living,27,6200 Osage Avenue and an outdoor monument to the bombing in Center City,155,https://farm8.staticflickr.com/7785/17897147485_7502af29b8_b.jpg
47,0101000020E61000000000000785CA52C01B277795F6F94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,, ,,,,,,City Hall,156,https://farm8.staticflickr.com/7684/17274592594_6cd2c0379a_b.jpg
48,0101000020E61000000AF0822D9BC852C0693BA6EECAFD4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{see 676},,,,Hand of wells,54, ,157,https://farm1.staticflickr.com/527/18271503910_ec9ba47b7a_b.jpg
49,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,19107,,,,,,,,,, ,,,,Homeless Monument,56,City Hall East Entrance,,
50,0101000020E6100000350A4966F5C952C0DFF8DA334BFC4340,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18940,,,,,1,,,,,Explanation: Ribbon-shaped things flow around one another (each a different color of the rainbow). They are curved (like a water-slide) and carry water. They join one larger ribbon that is white. It empties into a small pool of water. The floor of the pool is a mosaic tile picture of Philly.,,,,Water's Potential,18,12th and Girard?,16,https://farm9.staticflickr.com/8790/17199346224_ef37d46b0f_b.jpg
